titleId,production_companies_name
tt0000591,Pathé Frères
tt0001790,Pathé Frères
tt0002130,Milano Films
tt0002199,Kalem Company
tt0002423,Projektions-AG Union (PAGU)
tt0002445,Società Italiana Cines
tt0002461,Sterling Camera and Film Company
tt0002461,"""Le Film d'Art"""
tt0002461,M.B. Dudley Amusement Co.
tt0002646,Nordisk Film Denmark
tt0002798,Société Française des Films Éclair
tt0002898,Pathé Frères
tt0003015,Projektions-AG Union (PAGU)
tt0003419,Deutsche Bioscope
tt0003489,Società Anonima Ambrosio
tt0003657,New York Motion Picture
tt0003740,Italia Film
tt0003871,Famous Players Film Company
tt0003883,Gaumont
tt0003897,Wharton
tt0004026,Deutsche Bioscope
tt0004150,Seattle Film Co.
tt0004181,American Mutoscope & Biograph
tt0004465,The General and Eclectic Film Company
tt0004525,Pathé Frères
tt0004707,Keystone Film Company
tt0004712,ProJa Filmgyár
tt0004761,Société Générale des Cinématographes Éclipse
tt0004825,Shubert Film Corporation
tt0004838,New York Motion Picture
tt0004872,Peerless Productions
tt0004873,Nonpareil Feature Film Corp.
tt0004901,Premo Film Company
tt0004972,Epoch Film Co.
tt0005078,Jesse L. Lasky Feature Play Company
tt0005078,Paramount
tt0005149,New York Motion Picture
tt0005149,Kay-Bee Pictures
tt0005302,Famous Players Film Company
tt0005331,World Film
tt0005339,Fox Film Corporation
tt0005393,Jesse L. Lasky Feature Play Company
tt0005600,Fine Arts Film Company
tt0005621,Fine Arts Film Company
tt0005682,Famous Players Film Company
tt0005683,Svenska Biografteatern
tt0005951,Società Italiana Cines
tt0005957,Balboa Amusement Producing Company
tt0005960,Fox Film Corporation
tt0006206,Gaumont
tt0006333,The Universal Film Mfg. Co.
tt0006357,Fine Arts Film Company
tt0006375,Kay-Bee Pictures
tt0006375,New York Motion Picture
tt0006386,Svenska Biografteatern
tt0006509,Fine Arts Film Company
tt0006511,Società Italiana Cines
tt0006517,Thomas H. Ince Corporation
tt0006568,Fox Film Corporation
tt0006570,Pallas Pictures
tt0006583,Famous Players Film Company
tt0006596,Kay-Bee Pictures
tt0006596,New York Motion Picture
tt0006617,Svenska Biografteatern
tt0006621,Fox Film Corporation
tt0006629,Bluebird Photoplays
tt0006637,Famous Players Film Company
tt0006696,Jesse L. Lasky Feature Play Company
tt0006736,Fine Arts Film Company
tt0006753,Fine Arts Film Company
tt0006780,New York Motion Picture
tt0006780,Kay-Bee Pictures
tt0006809,Fine Arts Film Company
tt0006820,Deutsche Bioscope
tt0006831,Famous Players Film Company
tt0006864,Triangle Film Corporation
tt0006864,Wark Producing Corp.
tt0006886,Gaumont
tt0006914,Mary Pickford Company
tt0006997,Itala-Film
tt0007031,Fine Arts Film Company
tt0007047,Fine Arts Film Company
tt0007113,Bluebird Photoplays
tt0007118,Famous Players Film Company
tt0007183,Yermoliev
tt0007189,New York Motion Picture
tt0007243,Fox Film Corporation
tt0007260,New York Motion Picture
tt0007260,Kay-Bee Pictures
tt0007265,Peerless Productions
tt0007309,Projektions-AG Union (PAGU)
tt0007338,The Essanay Film Manufacturing Company
tt0007367,Fine Arts Film Company
tt0007388,Standard Pictures Corp.
tt0007459,Itala Film
tt0007496,Famous Players Film Company
tt0007496,Paramount
tt0007518,Films Cinematographiques
tt0007518,Argos Films
tt0007522,Svenska Biografteatern
tt0007617,Fox Film Corporation
tt0007673,Fine Arts Film Company
tt0007678,Paramount
tt0007755,Universal Film Manufacturing Company
tt0007768,Jesse L. Lasky Feature Play Company
tt0007801,Fox Film Corporation
tt0007820,Standard Pictures Corp.
tt0007820,Fox Film Corporation
tt0007857,Jesse L. Lasky Feature Play Company
tt0007867,Bluebird Photoplays
tt0007901,Famous Players Film Company
tt0007927,Iliodor Pictures Corp.
tt0007931,Douglas Fairbanks Pictures
tt0007932,Astra Film
tt0007968,Jesse L. Lasky Feature Play Company
tt0008065,Bluebird Photoplays
tt0008099,May-Film
tt0008136,Triangle Film Corporation
tt0008150,Paramount
tt0008188,Mary Pickford Company
tt0008196,Mary Pickford Company
tt0008252,Società Italiana Cines
tt0008279,Cinédis
tt0008288,Vitagraph Company of America
tt0008307,Fox Film Corporation
tt0008309,Douglas Fairbanks Pictures
tt0008321,Norma Talmadge Film Corporation
tt0008355,Astra Film
tt0008362,Artcraft Pictures Corporation
tt0008362,William S. Hart Productions
tt0008395,Yermoliev
tt0008406,Norma Talmadge Film Corporation
tt0008413,Fox Film Corporation
tt0008417,Universal Film Manufacturing Company
tt0008443,Artcraft Pictures Corporation
tt0008449,Thomas H. Ince Productions
tt0008449,Paramount
tt0008454,Universal Film Manufacturing Company
tt0008454,Lois Weber Productions
tt0008458,Mary Pickford Company
tt0008498,Douglas Fairbanks Pictures
tt0008499,Mary Pickford Company
tt0008519,Artcraft Pictures Corporation
tt0008519,Paramount
tt0008526,Ardsley-Pathé
tt0008536,Yermoliev
tt0008541,Bluebird Photoplays
tt0008541,Universal Film Manufacturing Company
tt0008571,Famous Players-Lasky Corporation
tt0008571,William S. Hart Productions
tt0008571,Thomas H. Ince Corporation
tt0008572,Robert Warwick Film
tt0008634,Universal Film Manufacturing Company
tt0008652,Fox Film Corporation
tt0008663,Svenska Biografteatern
tt0008672,Svenska Biografteatern
tt0008710,Svenska Biografteatern
tt0008764,Paragon Films
tt0008783,Kay-Bee Pictures
tt0008786,Artcraft Pictures Corporation
tt0008822,Universal Film Manufacturing Company
tt0008822,Bluebird Photoplays
tt0008827,Mary Pickford Company
tt0008843,Corvin Film
tt0008869,American Film Company
tt0008879,Svenska Biografteatern
tt0008891,Paramount
tt0008919,Universal Film Manufacturing Company
tt0008922,Famous Players-Lasky Corporation
tt0008923,Universal Film Manufacturing Company
tt0008950,Projektions-AG Union (PAGU)
tt0008962,Famous Players-Lasky Corporation
tt0008993,Universal Film Manufacturing Company
tt0008998,Norma Talmadge Film Corporation
tt0009014,"""Le Film d'Art"""
tt0009020,Famous Players-Lasky Corporation
tt0009030,Bluebird Photoplays
tt0009040,Famous Players-Lasky Corporation
tt0009040,Paramount
tt0009046,Nazimova Productions
tt0009047,American Film Company
tt0009054,Thomas H. Ince Corporation
tt0009086,Norma Talmadge Film Corporation
tt0009096,Hasselbladfilm
tt0009104,The American Film Company
tt0009128,Pathé Exchange
tt0009145,Universal Film Manufacturing Company
tt0009148,Famous Players-Lasky Corporation
tt0009150,War Office Committee
tt0009150,D.W. Griffith Productions
tt0009150,Famous Players-Lasky Corporation
tt0009151,William Russell Productions Inc.
tt0009153,Universal Film Manufacturing Company
tt0009154,Diva Pictures
tt0009154,Goldwyn Pictures Corporation
tt0009159,Universal Film Manufacturing Company
tt0009168,Norma Talmadge Film Corporation
tt0009204,Astra Film
tt0009205,Metro Pictures Corporation
tt0009208,Mary Pickford Company
tt0009212,F-4 Picture Corp.
tt0009224,Paramount
tt0009224,Famous Players-Lasky Corporation
tt0009237,Astra Film
tt0009241,Mary Pickford Company
tt0009275,Perret Productions Inc.
tt0009289,Rita Jolivet Film Corporation
tt0009326,Mary Pickford Company
tt0009328,Paralta Plays Inc.
tt0009332,Universal Film Manufacturing Company
tt0009356,Maxwell Productions (I)
tt0009369,Mabel Normand Feature Film Company
tt0009379,Fox Film Corporation
tt0009400,Douglas Fairbanks Pictures
tt0009416,Filmindustri AB Skandia
tt0009440,Artcraft Pictures Corporation
tt0009447,Famous Players-Lasky Corporation
tt0009447,Jesse L. Lasky Feature Play Company
tt0009447,Paramount
